City_ID,city_name,Lat,Lon,wind,temp_max,humidity,country,date,cloud
420,Lewiston,44.1,-70.21,3.76,9.0,70,US,1581231983,1
421,Ust-Tsilma,65.44,52.15,8.75,11.23,94,RU,1581231983,95
422,Muros,42.78,-9.06,12.75,57.99,93,ES,1581231983,75
423,Cristalina,-16.77,-47.61,8.01,65.35,96,BR,1581231983,100
424,Barth,54.36,12.72,8.05,42.8,81,DE,1581231984,75
425,Mehamn,71.04,27.85,12.66,31.06,83,NO,1581231984,95
426,Rawson,-43.3,-65.1,7.11,58.93,74,AR,1581231984,17
427,Ghanzi,-21.57,21.78,1.92,72.97,74,BW,1581231984,0
428,Essenbach,48.62,12.22,1.12,33.01,92,DE,1581231985,63
429,Valle de Santiago,20.38,-101.2,2.1,53.6,62,MX,1581231763,5
430,Semporna,4.48,118.61,5.82,87.8,70,MY,1581231985,75
431,Puerto del Rosario,28.5,-13.86,8.05,62.6,77,ES,1581231986,100
432,Ekhabi,53.51,142.97,18.61,2.82,91,RU,1581231986,100
433,Baghdad,33.34,44.4,8.05,48.2,45,IQ,1581231853,75
434,Nantucket,41.28,-70.1,10.29,30.2,63,US,1581231977,1
435,Sept-Iles,50.2,-66.38,4.7,-4.0,48,CA,1581231986,5
436,Taoudenni,22.68,-3.98,6.67,58.64,11,ML,1581231987,100
437,Tabat,-2.63,115.23,0.56,86.18,78,ID,1581231987,77
438,Chumphon,10.33,98.83,9.17,91.4,49,TH,1581231987,40
439,Nome,64.5,-165.41,4.7,1.4,84,US,1581231753,90
440,Guerrero Negro,27.98,-114.06,5.91,59.88,83,MX,1581231835,68
441,Miracema do Tocantins,-9.56,-48.4,2.3,69.42,98,BR,1581231982,100
442,Manavalakurichi,8.13,77.3,9.17,87.8,66,IN,1581231987,20
443,Narsaq,60.92,-46.05,8.05,14.0,72,GL,1581231987,96
444,Srednekolymsk,67.45,153.68,1.7,-28.01,73,RU,1581231988,76
445,Qurayyat,31.33,37.34,4.7,44.6,81,SA,1581231988,75
446,Southbridge,42.08,-72.03,5.82,25.0,61,US,1581231988,1
447,Tsumeb,-19.23,17.72,4.7,69.8,32,NA,1581231988,29
448,Chekhov,55.14,37.47,8.95,23.0,79,RU,1581231988,75
449,Bontang,0.13,117.5,10.04,83.39,73,ID,1581231988,100
450,Uvat,59.14,68.9,4.61,-7.35,95,RU,1581231988,30
451,Wollongong,-34.43,150.88,33.33,70.0,94,AU,1581231900,75
452,Impfondo,1.64,18.07,5.75,77.43,73,CG,1581231989,75
453,Metkovic,43.05,17.65,1.12,28.0,92,HR,1581231989,0
454,Gushikawa,26.35,127.87,19.46,62.6,59,JP,1581231989,75
455,Camacha,33.08,-16.33,6.93,64.4,82,PT,1581231989,40
456,Ahipara,-35.17,173.17,1.01,70.0,63,NZ,1581231989,52
457,Sibenik,43.73,15.91,4.7,41.0,75,HR,1581231989,10
458,Kyela,-9.58,33.85,1.57,74.35,70,TZ,1581231989,93
459,Raudeberg,61.99,5.14,20.8,37.4,93,NO,1581231990,100
460,Silver City,32.77,-108.28,9.17,39.99,48,US,1581231898,1
461,Bahia Blanca,-38.72,-62.27,7.54,55.74,84,AR,1581231990,0
462,Takoradze,4.88,-1.76,1.86,75.74,96,GH,1581231990,69
463,Taksimo,56.34,114.88,2.35,2.86,92,RU,1581231990,94
464,Omboue,-1.57,9.26,2.82,75.81,95,GA,1581231990,100
465,Xining,36.62,101.77,4.63,32.68,33,CN,1581231991,86
466,Prince Rupert,54.32,-130.32,6.93,35.6,93,CA,1581231991,90
467,Tezu,27.92,96.17,4.47,69.08,39,IN,1581231991,100
468,Morro Bay,35.37,-120.85,3.36,51.01,93,US,1581231991,90
469,Ningxiang,37.34,111.21,4.83,39.0,32,CN,1581231991,0
470,Colac,-38.33,143.58,4.0,77.0,93,AU,1581231991,99
471,Sao Joao da Barra,-21.64,-41.05,10.56,75.34,91,BR,1581231991,0
472,Alofi,-19.06,-169.92,4.7,78.8,94,NU,1581231992,95
473,Petropavl,54.88,69.16,11.18,10.4,85,KZ,1581231992,86
474,Meulaboh,4.14,96.13,8.01,83.41,70,ID,1581231992,1
475,Malynivka,49.82,36.73,2.24,8.6,84,UA,1581231992,0
476,Champerico,14.3,-91.92,1.28,75.18,78,GT,1581231992,2
477,Mayumba,-3.43,10.66,12.77,83.84,74,GA,1581231992,100
478,Huaibei,33.97,116.79,1.99,57.99,45,CN,1581231930,0
479,Latung,5.5,120.88,12.68,83.12,72,PH,1581231993,95
480,Ormara,25.21,64.64,5.03,70.16,57,PK,1581231993,38
481,Khorixas,-20.37,14.97,4.79,68.16,43,NA,1581231993,30
482,Jiuquan,39.74,98.52,3.62,36.95,10,CN,1581231993,0
